sk_direccion,num_documento,grupo_economico,kam,mes_antiguedad,nbr_departamento,nbr_provincia,nbr_distrito,nbr_direccion,avg_gpv_ext_3m,avg_ntrx_ext_3m,num_latitud,num_longitud,rank
563378f2cba55d06885d05e950482fd7445cb60050c10bd4204a60744e08e0c8,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,12.0,LIMA,LIMA,LURIGANCHO,"MZ B INT LT 28 SAN ALBERTO  - PISO 2 - REF CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",162805.22666667,466.0,-11.9659521,-76.7446507,1
289dd1def51a806248cbf5b3326f46106f5e98a311d4ea7269822e489e7535fd,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,25.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERU",,,-11.9733353,-76.7714556,2
a25eddc784e81ed530c819d0702526687fc2dfdecbf6927dcb353da79f6594e9,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,41.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",,,-11.9254658,-76.6443504,3
ba52e8901b508b5c0f40e92d13be49567d0e0f28a8ddcc9664f32b590d087807,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,29.0,LIMA,LIMA,LURIGANCHO,"NRO. MZ.B INT. LT28 URB. SAN ALBERTO - PISO SN - REF ALT.KM.27.5 CARR.CENTRAL, LURIGANCHO, LIMA, LIMA, PERÚ",82763.03333333,258.0,-11.9254658,-76.6443504,4
a25eddc784e81ed530c819d0702526687fc2dfdecbf6927dcb353da79f6594e9,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,25.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",,,-11.9254658,-76.6443504,5
a25eddc784e81ed530c819d0702526687fc2dfdecbf6927dcb353da79f6594e9,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,41.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",,,-11.9254658,-76.6443504,6
a25eddc784e81ed530c819d0702526687fc2dfdecbf6927dcb353da79f6594e9,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,41.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",,,-11.9254658,-76.6443504,7
a25eddc784e81ed530c819d0702526687fc2dfdecbf6927dcb353da79f6594e9,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,25.0,LIMA,LIMA,LURIGANCHO,"MZ.B LT28 SAN ALBERTO ALT.KM.27.5 CARR.CENTRAL CHOSICA, LURIGANCHO, LIMA, LIMA, PERÚ",,,-11.9254658,-76.6443504,8
86682313fbfd2a331092338acefd813e85392a7735216cacdfe6e92dcc658146,20111857467,ACADEMIA DE NATACION,ANABEL SANTAMARIA,89.0,LIMA,LIMA,SANTIAGO DE SURCO,AV INTIHUATANA 707  HIGUERETA,,,-12.1176471,-76.9964349,9
bab06a2b7766c3838cc8e1be8af02ae128270acdc8c26962cb99b6c3d3c230d2,20160535386,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,28.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI 445 - PISO 1 - REF ALT. DE PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",39568.3,92.0,-12.0607217,-77.0408933,10
da29f54fd9bae5f566458db75d1d9a5d6e3a0b0268e6bc13a5afdbbf74a9fe4b,20138755615,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,26.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI 445 - PISO 1 - REF PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",150175.5,196.0,-12.0607217,-77.0408933,11
5a0689b76fb6d3140cfad8627df0c6db809728df708257d3be70bdcb7fa50dd8,20160535386,ASOCIACIÓN CULTURAL GAMOR,ANABEL SANTAMARIA,26.0,LIMA,LIMA,LIMA,"PLAZA BOLOGNESI - PISO 1 - REF PLAZA BOLOGNESI, LIMA, LIMA, LIMA, PERÚ",20958.16666667,51.0,-12.0606794,-77.041304,12
791be475957a7173a44df625dea26b690748be6b85ad49bdb79e54167feeb9c4,20512286349,ASOCIACIÓN FONDO DE INVESTIGADORES Y EDITORES - AFINED,ANABEL SANTAMARIA,69.0,LIMA,LIMA,LIMA,"AV. ALFONSO UGARTE 1426 A 1 CDRA. DE LA PLAZA BOLOGNESI, LIMA, PERU",53715.0,169.0,-12.058712,-77.041911,13
3e6c0d9a3c7db058b729225a26c1ae6c0cfcdfe7142d619ba7efabdddd7c049a,20610319581,ANIMAL DRUG E.I.R.L.,ANABEL SANTAMARIA,12.0,LIMA,LIMA,BREÑA,AV ALFONSO UGARTE 848,52487.45666667,792.0,-12.0494369,-77.0445731,14
bbcfea112d32c9ed36b8a76f3bbb5a7ee6eb8467c2b0783637e6816b28debb17,20426345146,ACADEMIA DE NATACION,ANABEL SANTAMARIA,45.0,LIMA,LIMA,LURIGANCHO,JR EL TRIUNFO 335 CER DE CHACHAPOYAS  PISO 2  REF AL COSTADO DEL HOSPITAL REGIONAL CHACHAPOYAS CHACHAPOYAS AMAZONAS PERU,,,-6.230154700000001,-77.87084779999999,15
